"","x"
"1",1.58074906029645
"2",1.24566583731368
"3",2.93490546215892
"4",0.399856181542447
"5",0.228454925527876
"6",2.02841610788598
"7",2.86966400980922
"8",1.7880093435335
"9",1.27533352034635
"10",1.13349014579669
"11",1.70180954954272
"12",1.13506687514409
"13",1.52236118319433
"14",1.62686228379165
"15",0.0285765309141714
"16",0.104511312023754
"17",0.216153226651573
"18",1.91687713593214
"19",4.78893630530029
"20",0.131758918663423
"21",0.65952550577954
"22",0.825451172604947
"23",0.263050255067033
"24",0.702644991115662
"25",0.797660708196714
"26",1.49327646965956
"27",1.7759739368304
"28",0.190896523352943
"29",2.76359918970794
"30",1.25694363493238
"31",2.45875289657809
"32",0.00429030607704891
"33",0.483685492363869
"34",3.95485552298534
"35",0.591740916476951
"36",3.65481150037549
"37",5.61441957010419
"38",1.30577953919115
"39",0.795902476535335
"40",1.02511255432175
"41",0.549043648363754
"42",1.64168133082556
"43",0.251877315877596
"44",2.87924029743388
"45",1.13342821910644
"46",0.387551822606031
"47",1.41121444005085
"48",0.237800062493206
"49",0.602328517503101
"50",0.187196737515298
"51",0.589273797833475
"52",0.483551457413693
"53",1.27457871491432
"54",0.0837158801223811
"55",0.31890298141267
"56",0.290242841173884
"57",0.731712466195913
"58",0.15569299374151
"59",1.50602242200665
"60",0.384167396469566
"61",1.32242683766632
"62",0.894322234902503
"63",0.187585362014545
"64",0.909248652076544
"65",1.09102213623668
"66",0.346386034365244
"67",0.059207002089277
"68",1.1124487185257
"69",0.0126005375640148
"70",0.80708488987476
"71",0.955757173669263
"72",3.91430834656715
"73",0.192014259944586
"74",1.17088391507028
"75",0.621352112599707
"76",0.269576607892148
"77",0.0205084527276046
"78",0.152035422535928
"79",0.908658519047966
"80",0.0366852671948765
"81",1.1557535759994
"82",0.38448133632936
"83",1.20976425683633
"84",0.377207150308611
"85",2.24376430130968
"86",0.280392553054596
"87",0.544527438465508
"88",0.923429185470244
"89",0.397955149016328
"90",1.97160674137382
"91",1.21353375829784
"92",1.0469870416307
"93",0.0178992375850016
"94",0.922903251818978
"95",0.978737841530609
"96",0.247586881314035
"97",0.0451364805171823
"98",0.040211348695712
"99",0.393769527986188
"100",2.51123596204806
"101",0.657047748877969
"102",1.75737363670437
"103",0.43436463434867
"104",0.248680207297529
"105",0.47369233177819
"106",2.08668085995223
"107",0.388074901509519
"108",1.69730987144255
"109",0.842389680828646
"110",2.3530376201175
"111",1.07828246791429
"112",0.4223510846244
"113",0.264582370876466
"114",1.35938899843532
"115",0.548711018360334
"116",0.682829101742933
"117",0.947478552433731
"118",0.000827899456637582
"119",2.77491298057767
"120",0.898794422109075
"121",3.28631447206889
"122",3.3667978472105
"123",0.237979045882142
"124",0.28126017855666
"125",0.568179713739753
"126",0.536763822567092
"127",0.619758390116761
"128",2.24791931929093
"129",0.0794254770975265
"130",0.271005896340683
"131",3.07395177301198
"132",0.328913169080864
"133",0.77340262028746
"134",0.170757880385047
"135",2.01653855244072
"136",0.363810954263998
"137",0.141679467789034
"138",0.993899195586259
"139",0.511202634244827
"140",0.0115871189989206
"141",1.24332715062522
"142",1.2691447372161
"143",0.659368672392438
"144",0.0489432929456626
"145",0.711927429408808
"146",0.432899125135183
"147",0.617924381548962
"148",0.0442622061010025
"149",0.153852817370097
"150",0.647202327422399
"151",0.332983604550967
"152",1.30413973925933
"153",0.223930732579001
"154",1.15449090467483
"155",1.37153278681223
"156",0.50324172218334
"157",0.325321324600924
"158",1.2917339050595
"159",0.204981594953818
"160",2.15604728760945
"161",0.333085682602375
"162",2.44696042984407
"163",1.38858006364592
"164",0.0352634360723328
"165",0.0248322624784428
"166",1.73977859502407
"167",0.401933097582576
"168",0.766048825940234
"169",0.663401470142105
"170",1.33871502786627
"171",3.0196236373998
"172",0.33402952953631
"173",0.49550418643853
"174",1.48847995124157
"175",0.90517091923474
"176",2.356868302728
"177",0.929236383600433
"178",0.279056130257051
"179",0.0212363932149072
"180",0.879130218949901
"181",2.13223237499984
"182",0.583680615372573
"183",0.641544804013737
"184",0.105997404062837
"185",0.91728062885081
"186",0.88612398363467
"187",0.339134506621892
"188",0.672457895330487
"189",0.581094219311288
"190",3.03536630610828
"191",0.127627845438988
"192",0.00805027742806116
"193",1.01554478904561
"194",0.602288420159906
"195",1.31096687571805
"196",0.698751911484369
"197",0.281457439113705
"198",0.50300225378695
"199",0.159025352795716
"200",1.46957724827695
"201",0.157393489117319
"202",0.0257239966756583
"203",1.37131470844126
"204",3.13673766931322
"205",1.39043669397292
"206",1.82055040552576
"207",0.457993416940761
"208",0.577559104519607
"209",5.30181349970765
"210",0.270938795689202
"211",1.36017908563009
"212",0.464997613467795
"213",1.91299654563286
"214",1.21306435399099
"215",0.101548539277288
"216",0.440066961402548
"217",0.420713774474426
"218",1.66521605280521
"219",0.0803670695339922
"220",1.51881315692928
"221",1.09564044324918
"222",0.27102733448091
"223",1.50211673386245
"224",0.735986098615536
"225",0.67367054072148
